word,meaning,pos,base_form,past,past_participle,present_participle,transitivity,plural,plural_rule,required_prepositions,usage_patterns,example_1,example_zh_1,example_2,example_zh_2,example_3,example_zh_3,example_4,example_zh_4,example_5,example_zh_5,grade,semester,lesson,tags,note
six,六,number/noun/adjective,,,,,,sixes,加 es,,number + plural noun; the number is...; in one's twenties/thirties,I have six pencils.,我有六枝鉛筆。,The answer is six.,答案是六。,Please write the number six.,請寫出數字六。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,six 以 x 結尾，作名詞時複數加 es：sixes。
seven,七,number/noun/adjective,,,,,,sevens,規則加 s,,number + plural noun; the number is...; in one's twenties/thirties,I have seven pencils.,我有七枝鉛筆。,The answer is seven.,答案是七。,Please write the number seven.,請寫出數字七。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,seven 作名詞時複數為 sevens。
eight,八,number/noun/adjective,,,,,,eights,規則加 s,,number + plural noun; the number is...; in one's twenties/thirties,I have eight pencils.,我有八枝鉛筆。,The answer is eight.,答案是八。,Please write the number eight.,請寫出數字八。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,eight 作名詞時複數為 eights。
nine,九,number/noun/adjective,,,,,,nines,規則加 s,,number + plural noun; the number is...; in one's twenties/thirties,I have nine pencils.,我有九枝鉛筆。,The answer is nine.,答案是九。,Please write the number nine.,請寫出數字九。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,nine 的拼字是 n-i-n-e；你原先寫的 ninie 已更正為 nine。
ten,十,number/noun/adjective,,,,,,tens,規則加 s,,number + plural noun; the number is...; in one's twenties/thirties,I have ten pencils.,我有十枝鉛筆。,The answer is ten.,答案是十。,Please write the number ten.,請寫出數字十。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,ten 作名詞時複數為 tens。
eleven,十一,number/noun/adjective,,,,,,elevens,規則加 s,,number + plural noun; the number is...; in one's twenties/thirties,I have eleven pencils.,我有十一枝鉛筆。,The answer is eleven.,答案是十一。,Please write the number eleven.,請寫出數字十一。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,eleven 作名詞時複數為 elevens。
twelve,十二,number/noun/adjective,,,,,,twelves,規則加 s,,number + plural noun; the number is...; in one's twenties/thirties,I have twelve pencils.,我有十二枝鉛筆。,The answer is twelve.,答案是十二。,Please write the number twelve.,請寫出數字十二。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,twelve 作名詞時複數為 twelves。
thirteen,十三,number/noun/adjective,,,,,,thirteens,規則加 s,,number + plural noun; the number is...; in one's twenties/thirties,I have thirteen pencils.,我有十三枝鉛筆。,The answer is thirteen.,答案是十三。,Please write the number thirteen.,請寫出數字十三。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,thirteen 是 -teen 結尾的數字。
fourteen,十四,number/noun/adjective,,,,,,fourteens,規則加 s,,number + plural noun; the number is...; in one's twenties/thirties,I have fourteen pencils.,我有十四枝鉛筆。,The answer is fourteen.,答案是十四。,Please write the number fourteen.,請寫出數字十四。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,注意 fourteen 與 forty 拼字不同。
fifteen,十五,number/noun/adjective,,,,,,fifteens,規則加 s,,number + plural noun; the number is...; in one's twenties/thirties,I have fifteen pencils.,我有十五枝鉛筆。,The answer is fifteen.,答案是十五。,Please write the number fifteen.,請寫出數字十五。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,fifteen 作名詞時複數為 fifteens。
sixteen,十六,number/noun/adjective,,,,,,sixteens,規則加 s,,number + plural noun; the number is...; in one's twenties/thirties,I have sixteen pencils.,我有十六枝鉛筆。,The answer is sixteen.,答案是十六。,Please write the number sixteen.,請寫出數字十六。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,sixteen 作名詞時複數為 sixteens。
seventeen,十七,number/noun/adjective,,,,,,seventeens,規則加 s,,number + plural noun; the number is...; in one's twenties/thirties,I have seventeen pencils.,我有十七枝鉛筆。,The answer is seventeen.,答案是十七。,Please write the number seventeen.,請寫出數字十七。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,seventeen 作名詞時複數為 seventeens。
eighteen,十八,number/noun/adjective,,,,,,eighteens,規則加 s,,number + plural noun; the number is...; in one's twenties/thirties,I have eighteen pencils.,我有十八枝鉛筆。,The answer is eighteen.,答案是十八。,Please write the number eighteen.,請寫出數字十八。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,eighteen 作名詞時複數為 eighteens。
nineteen,十九,number/noun/adjective,,,,,,nineteens,規則加 s,,number + plural noun; the number is...; in one's twenties/thirties,I have nineteen pencils.,我有十九枝鉛筆。,The answer is nineteen.,答案是十九。,Please write the number nineteen.,請寫出數字十九。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,nineteen 作名詞時複數為 nineteens。
twenty,二十,number/noun/adjective,,,,,,twenties,子音 + y，去 y 加 ies,,number + plural noun; the number is...; in one's twenties/thirties,I have twenty pencils.,我有二十枝鉛筆。,The answer is twenty.,答案是二十。,Please write the number twenty.,請寫出數字二十。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,twenty 作名詞時複數為 twenties。
thirty,三十,number/noun/adjective,,,,,,thirties,子音 + y，去 y 加 ies,,number + plural noun; the number is...; in one's twenties/thirties,I have thirty pencils.,我有三十枝鉛筆。,The answer is thirty.,答案是三十。,Please write the number thirty.,請寫出數字三十。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,thirty 作名詞時複數為 thirties。
forty,四十,number/noun/adjective,,,,,,forties,子音 + y，去 y 加 ies,,number + plural noun; the number is...; in one's twenties/thirties,I have forty pencils.,我有四十枝鉛筆。,The answer is forty.,答案是四十。,Please write the number forty.,請寫出數字四十。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,forty 拼字不是 fourty；作名詞時複數為 forties。
fifty,五十,number/noun/adjective,,,,,,fifties,子音 + y，去 y 加 ies,,number + plural noun; the number is...; in one's twenties/thirties,I have fifty pencils.,我有五十枝鉛筆。,The answer is fifty.,答案是五十。,Please write the number fifty.,請寫出數字五十。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,fifty 作名詞時複數為 fifties。
sixty,六十,number/noun/adjective,,,,,,sixties,子音 + y，去 y 加 ies,,number + plural noun; the number is...; in one's twenties/thirties,I have sixty pencils.,我有六十枝鉛筆。,The answer is sixty.,答案是六十。,Please write the number sixty.,請寫出數字六十。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,sixty 作名詞時複數為 sixties。
seventy,七十,number/noun/adjective,,,,,,seventies,子音 + y，去 y 加 ies,,number + plural noun; the number is...; in one's twenties/thirties,I have seventy pencils.,我有七十枝鉛筆。,The answer is seventy.,答案是七十。,Please write the number seventy.,請寫出數字七十。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,seventy 作名詞時複數為 seventies。
eighty,八十,number/noun/adjective,,,,,,eighties,子音 + y，去 y 加 ies,,number + plural noun; the number is...; in one's twenties/thirties,I have eighty pencils.,我有八十枝鉛筆。,The answer is eighty.,答案是八十。,Please write the number eighty.,請寫出數字八十。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,eighty 拼字保留 t：e-i-g-h-t-y；複數為 eighties。
ninety,九十,number/noun/adjective,,,,,,nineties,子音 + y，去 y 加 ies,,number + plural noun; the number is...; in one's twenties/thirties,I have ninety pencils.,我有九十枝鉛筆。,The answer is ninety.,答案是九十。,Please write the number ninety.,請寫出數字九十。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,ninety 作名詞時複數為 nineties。
