word,meaning,pos,pos_en,pos_zh,pos_note,base_form,past,past_participle,present_participle,transitivity,plural,plural_rule,required_prepositions,usage_patterns,example_1,example_zh_1,example_2,example_zh_2,example_3,example_zh_3,example_4,example_zh_4,example_5,example_zh_5,grade,semester,lesson,tags,note,word_question_context,meaning_option_1,meaning_option_2,meaning_option_3,word_option_1,word_option_2,word_option_3,past_option_1,past_option_2,past_option_3,past_participle_option_1,past_participle_option_2,past_participle_option_3,present_participle_option_1,present_participle_option_2,present_participle_option_3,verb_change_type,verb_change_note,verb_change_option_1,verb_change_option_2,verb_change_option_3,cloze_1,cloze_answer_1,cloze_hint_1,cloze_2,cloze_answer_2,cloze_hint_2,cloze_3,cloze_answer_3,cloze_hint_3,cloze_4,cloze_answer_4,cloze_hint_4,cloze_5,cloze_answer_5,cloze_hint_5
zero,零,number/noun/adjective（數字／名詞／形容詞）,number/noun/adjective,數字／名詞／形容詞,可表示數字；也可當名詞使用，例如 two twos；也可放在名詞前修飾數量。,,,,,,zeros / zeroes,規則加 s；zeroes 也可見,,number + plural noun; the number is...; in one's twenties/thirties,I have zero pencils.,我有零枝鉛筆。,The answer is zero.,答案是零。,Please write the number zero.,請寫出數字零。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,zero 可表示數字 0；當名詞複數常見 zeros，也可寫 zeroes。,,一,二,三,one,two,three,,,,,,,,,,,,,,,I have z___ pencils.,zero,z 開頭，共 4 個字母,The answer is z___.,zero,z 開頭，共 4 個字母,Please write the number z___.,zero,z 開頭，共 4 個字母,,,,,,
one,一,number/noun/adjective（數字／名詞／形容詞）,number/noun/adjective,數字／名詞／形容詞,可表示數字；也可當名詞使用，例如 two twos；也可放在名詞前修飾數量。,,,,,,ones,規則加 s,,number + plural noun; the number is...; in one's twenties/thirties,I have one pencils.,我有一枝鉛筆。,The answer is one.,答案是一。,Please write the number one.,請寫出數字一。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,one 可作數字，也可作代名詞，如 this one。,,二,零,三,two,zero,three,,,,,,,,,,,,,,,I have o__ pencils.,one,o 開頭，共 3 個字母,The answer is o__.,one,o 開頭，共 3 個字母,Please write the number o__.,one,o 開頭，共 3 個字母,,,,,,
two,二,number/noun/adjective（數字／名詞／形容詞）,number/noun/adjective,數字／名詞／形容詞,可表示數字；也可當名詞使用，例如 two twos；也可放在名詞前修飾數量。,,,,,,twos,規則加 s,,number + plural noun; the number is...; in one's twenties/thirties,I have two pencils.,我有二枝鉛筆。,The answer is two.,答案是二。,Please write the number two.,請寫出數字二。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,two 作名詞時複數為 twos。,,三,一,四,three,one,four,,,,,,,,,,,,,,,I have t__ pencils.,two,t 開頭，共 3 個字母,The answer is t__.,two,t 開頭，共 3 個字母,Please write the number t__.,two,t 開頭，共 3 個字母,,,,,,
three,三,number/noun/adjective（數字／名詞／形容詞）,number/noun/adjective,數字／名詞／形容詞,可表示數字；也可當名詞使用，例如 two twos；也可放在名詞前修飾數量。,,,,,,threes,規則加 s,,number + plural noun; the number is...; in one's twenties/thirties,I have three pencils.,我有三枝鉛筆。,The answer is three.,答案是三。,Please write the number three.,請寫出數字三。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,three 作名詞時複數為 threes。,,四,二,五,four,two,five,,,,,,,,,,,,,,,I have t____ pencils.,three,t 開頭，共 5 個字母,The answer is t____.,three,t 開頭，共 5 個字母,Please write the number t____.,three,t 開頭，共 5 個字母,,,,,,
four,四,number/noun/adjective（數字／名詞／形容詞）,number/noun/adjective,數字／名詞／形容詞,可表示數字；也可當名詞使用，例如 two twos；也可放在名詞前修飾數量。,,,,,,fours,規則加 s,,number + plural noun; the number is...; in one's twenties/thirties,I have four pencils.,我有四枝鉛筆。,The answer is four.,答案是四。,Please write the number four.,請寫出數字四。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,four 作名詞時複數為 fours。,,五,三,六,five,three,six,,,,,,,,,,,,,,,I have f___ pencils.,four,f 開頭，共 4 個字母,The answer is f___.,four,f 開頭，共 4 個字母,Please write the number f___.,four,f 開頭，共 4 個字母,,,,,,
five,五,number/noun/adjective（數字／名詞／形容詞）,number/noun/adjective,數字／名詞／形容詞,可表示數字；也可當名詞使用，例如 two twos；也可放在名詞前修飾數量。,,,,,,fives,規則加 s,,number + plural noun; the number is...; in one's twenties/thirties,I have five pencils.,我有五枝鉛筆。,The answer is five.,答案是五。,Please write the number five.,請寫出數字五。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,five 作名詞時複數為 fives。,,六,四,七,six,four,seven,,,,,,,,,,,,,,,I have f___ pencils.,five,f 開頭，共 4 個字母,The answer is f___.,five,f 開頭，共 4 個字母,Please write the number f___.,five,f 開頭，共 4 個字母,,,,,,
six,六,number/noun/adjective（數字／名詞／形容詞）,number/noun/adjective,數字／名詞／形容詞,可表示數字；也可當名詞使用，例如 two twos；也可放在名詞前修飾數量。,,,,,,sixes,加 es,,number + plural noun; the number is...; in one's twenties/thirties,I have six pencils.,我有六枝鉛筆。,The answer is six.,答案是六。,Please write the number six.,請寫出數字六。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,six 以 x 結尾，作名詞時複數加 es：sixes。,,七,五,八,seven,five,eight,,,,,,,,,,,,,,,I have s__ pencils.,six,s 開頭，共 3 個字母,The answer is s__.,six,s 開頭，共 3 個字母,Please write the number s__.,six,s 開頭，共 3 個字母,,,,,,
seven,七,number/noun/adjective（數字／名詞／形容詞）,number/noun/adjective,數字／名詞／形容詞,可表示數字；也可當名詞使用，例如 two twos；也可放在名詞前修飾數量。,,,,,,sevens,規則加 s,,number + plural noun; the number is...; in one's twenties/thirties,I have seven pencils.,我有七枝鉛筆。,The answer is seven.,答案是七。,Please write the number seven.,請寫出數字七。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,seven 作名詞時複數為 sevens。,,八,六,九,eight,six,nine,,,,,,,,,,,,,,,I have s____ pencils.,seven,s 開頭，共 5 個字母,The answer is s____.,seven,s 開頭，共 5 個字母,Please write the number s____.,seven,s 開頭，共 5 個字母,,,,,,
eight,八,number/noun/adjective（數字／名詞／形容詞）,number/noun/adjective,數字／名詞／形容詞,可表示數字；也可當名詞使用，例如 two twos；也可放在名詞前修飾數量。,,,,,,eights,規則加 s,,number + plural noun; the number is...; in one's twenties/thirties,I have eight pencils.,我有八枝鉛筆。,The answer is eight.,答案是八。,Please write the number eight.,請寫出數字八。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,eight 作名詞時複數為 eights。,,九,七,十,nine,seven,ten,,,,,,,,,,,,,,,I have e____ pencils.,eight,e 開頭，共 5 個字母,The answer is e____.,eight,e 開頭，共 5 個字母,Please write the number e____.,eight,e 開頭，共 5 個字母,,,,,,
nine,九,number/noun/adjective（數字／名詞／形容詞）,number/noun/adjective,數字／名詞／形容詞,可表示數字；也可當名詞使用，例如 two twos；也可放在名詞前修飾數量。,,,,,,nines,規則加 s,,number + plural noun; the number is...; in one's twenties/thirties,I have nine pencils.,我有九枝鉛筆。,The answer is nine.,答案是九。,Please write the number nine.,請寫出數字九。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,nine 的拼字是 n-i-n-e；你原先寫的 ninie 已更正為 nine。,,十,八,十一,ten,eight,eleven,,,,,,,,,,,,,,,I have n___ pencils.,nine,n 開頭，共 4 個字母,The answer is n___.,nine,n 開頭，共 4 個字母,Please write the number n___.,nine,n 開頭，共 4 個字母,,,,,,
ten,十,number/noun/adjective（數字／名詞／形容詞）,number/noun/adjective,數字／名詞／形容詞,可表示數字；也可當名詞使用，例如 two twos；也可放在名詞前修飾數量。,,,,,,tens,規則加 s,,number + plural noun; the number is...; in one's twenties/thirties,I have ten pencils.,我有十枝鉛筆。,The answer is ten.,答案是十。,Please write the number ten.,請寫出數字十。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,ten 作名詞時複數為 tens。,,十一,九,十二,eleven,nine,twelve,,,,,,,,,,,,,,,I have t__ pencils.,ten,t 開頭，共 3 個字母,The answer is t__.,ten,t 開頭，共 3 個字母,Please write the number t__.,ten,t 開頭，共 3 個字母,,,,,,
eleven,十一,number/noun/adjective（數字／名詞／形容詞）,number/noun/adjective,數字／名詞／形容詞,可表示數字；也可當名詞使用，例如 two twos；也可放在名詞前修飾數量。,,,,,,elevens,規則加 s,,number + plural noun; the number is...; in one's twenties/thirties,I have eleven pencils.,我有十一枝鉛筆。,The answer is eleven.,答案是十一。,Please write the number eleven.,請寫出數字十一。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,eleven 作名詞時複數為 elevens。,,十二,十,十三,twelve,ten,thirteen,,,,,,,,,,,,,,,I have e_____ pencils.,eleven,e 開頭，共 6 個字母,The answer is e_____.,eleven,e 開頭，共 6 個字母,Please write the number e_____.,eleven,e 開頭，共 6 個字母,,,,,,
twelve,十二,number/noun/adjective（數字／名詞／形容詞）,number/noun/adjective,數字／名詞／形容詞,可表示數字；也可當名詞使用，例如 two twos；也可放在名詞前修飾數量。,,,,,,twelves,規則加 s,,number + plural noun; the number is...; in one's twenties/thirties,I have twelve pencils.,我有十二枝鉛筆。,The answer is twelve.,答案是十二。,Please write the number twelve.,請寫出數字十二。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,twelve 作名詞時複數為 twelves。,,十三,十一,十四,thirteen,eleven,fourteen,,,,,,,,,,,,,,,I have t_____ pencils.,twelve,t 開頭，共 6 個字母,The answer is t_____.,twelve,t 開頭，共 6 個字母,Please write the number t_____.,twelve,t 開頭，共 6 個字母,,,,,,
thirteen,十三,number/noun/adjective（數字／名詞／形容詞）,number/noun/adjective,數字／名詞／形容詞,可表示數字；也可當名詞使用，例如 two twos；也可放在名詞前修飾數量。,,,,,,thirteens,規則加 s,,number + plural noun; the number is...; in one's twenties/thirties,I have thirteen pencils.,我有十三枝鉛筆。,The answer is thirteen.,答案是十三。,Please write the number thirteen.,請寫出數字十三。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,thirteen 是 -teen 結尾的數字。,,十四,十二,十五,fourteen,twelve,fifteen,,,,,,,,,,,,,,,I have t_______ pencils.,thirteen,t 開頭，共 8 個字母,The answer is t_______.,thirteen,t 開頭，共 8 個字母,Please write the number t_______.,thirteen,t 開頭，共 8 個字母,,,,,,
fourteen,十四,number/noun/adjective（數字／名詞／形容詞）,number/noun/adjective,數字／名詞／形容詞,可表示數字；也可當名詞使用，例如 two twos；也可放在名詞前修飾數量。,,,,,,fourteens,規則加 s,,number + plural noun; the number is...; in one's twenties/thirties,I have fourteen pencils.,我有十四枝鉛筆。,The answer is fourteen.,答案是十四。,Please write the number fourteen.,請寫出數字十四。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,注意 fourteen 與 forty 拼字不同。,,十五,十三,十六,fifteen,thirteen,sixteen,,,,,,,,,,,,,,,I have f_______ pencils.,fourteen,f 開頭，共 8 個字母,The answer is f_______.,fourteen,f 開頭，共 8 個字母,Please write the number f_______.,fourteen,f 開頭，共 8 個字母,,,,,,
fifteen,十五,number/noun/adjective（數字／名詞／形容詞）,number/noun/adjective,數字／名詞／形容詞,可表示數字；也可當名詞使用，例如 two twos；也可放在名詞前修飾數量。,,,,,,fifteens,規則加 s,,number + plural noun; the number is...; in one's twenties/thirties,I have fifteen pencils.,我有十五枝鉛筆。,The answer is fifteen.,答案是十五。,Please write the number fifteen.,請寫出數字十五。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,fifteen 作名詞時複數為 fifteens。,,十六,十四,十七,sixteen,fourteen,seventeen,,,,,,,,,,,,,,,I have f______ pencils.,fifteen,f 開頭，共 7 個字母,The answer is f______.,fifteen,f 開頭，共 7 個字母,Please write the number f______.,fifteen,f 開頭，共 7 個字母,,,,,,
sixteen,十六,number/noun/adjective（數字／名詞／形容詞）,number/noun/adjective,數字／名詞／形容詞,可表示數字；也可當名詞使用，例如 two twos；也可放在名詞前修飾數量。,,,,,,sixteens,規則加 s,,number + plural noun; the number is...; in one's twenties/thirties,I have sixteen pencils.,我有十六枝鉛筆。,The answer is sixteen.,答案是十六。,Please write the number sixteen.,請寫出數字十六。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,sixteen 作名詞時複數為 sixteens。,,十七,十五,十八,seventeen,fifteen,eighteen,,,,,,,,,,,,,,,I have s______ pencils.,sixteen,s 開頭，共 7 個字母,The answer is s______.,sixteen,s 開頭，共 7 個字母,Please write the number s______.,sixteen,s 開頭，共 7 個字母,,,,,,
seventeen,十七,number/noun/adjective（數字／名詞／形容詞）,number/noun/adjective,數字／名詞／形容詞,可表示數字；也可當名詞使用，例如 two twos；也可放在名詞前修飾數量。,,,,,,seventeens,規則加 s,,number + plural noun; the number is...; in one's twenties/thirties,I have seventeen pencils.,我有十七枝鉛筆。,The answer is seventeen.,答案是十七。,Please write the number seventeen.,請寫出數字十七。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,seventeen 作名詞時複數為 seventeens。,,十八,十六,十九,eighteen,sixteen,nineteen,,,,,,,,,,,,,,,I have s________ pencils.,seventeen,s 開頭，共 9 個字母,The answer is s________.,seventeen,s 開頭，共 9 個字母,Please write the number s________.,seventeen,s 開頭，共 9 個字母,,,,,,
eighteen,十八,number/noun/adjective（數字／名詞／形容詞）,number/noun/adjective,數字／名詞／形容詞,可表示數字；也可當名詞使用，例如 two twos；也可放在名詞前修飾數量。,,,,,,eighteens,規則加 s,,number + plural noun; the number is...; in one's twenties/thirties,I have eighteen pencils.,我有十八枝鉛筆。,The answer is eighteen.,答案是十八。,Please write the number eighteen.,請寫出數字十八。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,eighteen 作名詞時複數為 eighteens。,,十九,十七,二十,nineteen,seventeen,twenty,,,,,,,,,,,,,,,I have e_______ pencils.,eighteen,e 開頭，共 8 個字母,The answer is e_______.,eighteen,e 開頭，共 8 個字母,Please write the number e_______.,eighteen,e 開頭，共 8 個字母,,,,,,
nineteen,十九,number/noun/adjective（數字／名詞／形容詞）,number/noun/adjective,數字／名詞／形容詞,可表示數字；也可當名詞使用，例如 two twos；也可放在名詞前修飾數量。,,,,,,nineteens,規則加 s,,number + plural noun; the number is...; in one's twenties/thirties,I have nineteen pencils.,我有十九枝鉛筆。,The answer is nineteen.,答案是十九。,Please write the number nineteen.,請寫出數字十九。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,nineteen 作名詞時複數為 nineteens。,,二十,十八,三十,twenty,eighteen,thirty,,,,,,,,,,,,,,,I have n_______ pencils.,nineteen,n 開頭，共 8 個字母,The answer is n_______.,nineteen,n 開頭，共 8 個字母,Please write the number n_______.,nineteen,n 開頭，共 8 個字母,,,,,,
twenty,二十,number/noun/adjective（數字／名詞／形容詞）,number/noun/adjective,數字／名詞／形容詞,可表示數字；也可當名詞使用，例如 two twos；也可放在名詞前修飾數量。,,,,,,twenties,子音 + y，去 y 加 ies,,number + plural noun; the number is...; in one's twenties/thirties,I have twenty pencils.,我有二十枝鉛筆。,The answer is twenty.,答案是二十。,Please write the number twenty.,請寫出數字二十。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,twenty 作名詞時複數為 twenties。,,三十,十九,四十,thirty,nineteen,forty,,,,,,,,,,,,,,,I have t_____ pencils.,twenty,t 開頭，共 6 個字母,The answer is t_____.,twenty,t 開頭，共 6 個字母,Please write the number t_____.,twenty,t 開頭，共 6 個字母,,,,,,
thirty,三十,number/noun/adjective（數字／名詞／形容詞）,number/noun/adjective,數字／名詞／形容詞,可表示數字；也可當名詞使用，例如 two twos；也可放在名詞前修飾數量。,,,,,,thirties,子音 + y，去 y 加 ies,,number + plural noun; the number is...; in one's twenties/thirties,I have thirty pencils.,我有三十枝鉛筆。,The answer is thirty.,答案是三十。,Please write the number thirty.,請寫出數字三十。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,thirty 作名詞時複數為 thirties。,,四十,二十,五十,forty,twenty,fifty,,,,,,,,,,,,,,,I have t_____ pencils.,thirty,t 開頭，共 6 個字母,The answer is t_____.,thirty,t 開頭，共 6 個字母,Please write the number t_____.,thirty,t 開頭，共 6 個字母,,,,,,
forty,四十,number/noun/adjective（數字／名詞／形容詞）,number/noun/adjective,數字／名詞／形容詞,可表示數字；也可當名詞使用，例如 two twos；也可放在名詞前修飾數量。,,,,,,forties,子音 + y，去 y 加 ies,,number + plural noun; the number is...; in one's twenties/thirties,I have forty pencils.,我有四十枝鉛筆。,The answer is forty.,答案是四十。,Please write the number forty.,請寫出數字四十。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,forty 拼字不是 fourty；作名詞時複數為 forties。,,五十,三十,六十,fifty,thirty,sixty,,,,,,,,,,,,,,,I have f____ pencils.,forty,f 開頭，共 5 個字母,The answer is f____.,forty,f 開頭，共 5 個字母,Please write the number f____.,forty,f 開頭，共 5 個字母,,,,,,
fifty,五十,number/noun/adjective（數字／名詞／形容詞）,number/noun/adjective,數字／名詞／形容詞,可表示數字；也可當名詞使用，例如 two twos；也可放在名詞前修飾數量。,,,,,,fifties,子音 + y，去 y 加 ies,,number + plural noun; the number is...; in one's twenties/thirties,I have fifty pencils.,我有五十枝鉛筆。,The answer is fifty.,答案是五十。,Please write the number fifty.,請寫出數字五十。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,fifty 作名詞時複數為 fifties。,,六十,四十,七十,sixty,forty,seventy,,,,,,,,,,,,,,,I have f____ pencils.,fifty,f 開頭，共 5 個字母,The answer is f____.,fifty,f 開頭，共 5 個字母,Please write the number f____.,fifty,f 開頭，共 5 個字母,,,,,,
